,RESPONDA ABAIXO!
Vamos lá! Começando por você,
Qual sua data de aniversário?,25/06
"Atualmente, qual sua posição na empresa?",Sócia-Proprietaria
O que te fez escolher a V4 Company? Quais as suas expectativas com o projeto?,"Por ser uma empresa referencia e toda experiencia de mercado.Expectativa de crescimento das vendas no app proprio e buffet de eventos.Basicamente estruturação comercial, crescimento de vendas, expansão... fortalecimento da marca para futura comercialização de franquia."
Mais alguém irá fazer parte do dia a dia do projeto? Deixe nome e função,Nayra (supervisora administrativa) e minha sócia Lis
Sobre a sua empresa,
Onde a empresa foi criada?,"Salvador -BA. Tudo começou dentro de casa. Em 2021, no meio de uma das fases mais difíceis que já vivemos, nossa história começou dentro da cozinha de casa (pequena, improvisada, mas cheia de coragem, amor e vontade de vencer).Naquele momento, minha mãe estava passando por uma grande dificuldade financeira. Ela havia precisado fechar sua pousada por causa da pandemia, e as contas básicas começaram a pesar. Eu sou empregada pública e, naquela época, tomei a decisão de entregar meu apartamento alugado para ir morar com ela. Queria ajudar nas despesas da casa, e ao mesmo tempo ela poderia me ajudar com minha filha pequena. Estávamos tentando nos reorganizar como família, buscando uma forma de seguir em frente em meio a tanta incerteza.Passei dias pensando em como poderia ajudá-la a voltar a ganhar seu próprio dinheiro. Até que, em um almoço de domingo, veio o estalo. Lembro exatamente do momento em que disse: “Mãe, a sua feijoada é a melhor do mundo. Eu nunca comi uma feijoada mais gostosa. Por que a gente não tenta vender?”
Ela me respondeu com a dúvida de quem precisava acreditar de novo: “Mas onde? Como?”Começamos do jeito que dava. Tentamos vender na porta de casa, para amigos, conhecidos e pelas redes sociais. Divulgamos, nos esforçamos, mas no começo vendíamos muito pouco. Foi então que eu fui estudar. Entendi que a internet poderia abrir portas que a nossa rua não conseguia abrir sozinha. Pesquisei sobre vendas no iFood e em plataformas digitais, abrimos nosso MEI e começamos a trabalhar de verdade na cozinha de casa.E foi aí que tudo começou a mudar.Desde o primeiro dia em que entramos no iFood, tivemos pedidos. E, a cada semana, eles aumentavam mais. Nós não tínhamos cozinha profissional, não tínhamos estrutura, não tínhamos dinheiro sobrando. Mas tínhamos trabalho, persistência e um produto feito com verdade. O iFood nos deu visibilidade, acesso a clientes e a chance real de transformar uma ideia simples em negócio.Nossa cozinha era totalmente improvisada. Não tínhamos fogão industrial. Nosso primeiro fogão era um semi-industrial portátil, sustentado por tijolos para aguentar a panela grande da feijoada. Era tudo muito simples, mas carregado de dignidade, esforço e esperança. A cada venda, a cada avaliação, a cada comentário dos clientes, percebíamos que precisávamos melhorar, profissionalizar, criar marca, cuidar da embalagem, da operação, do atendimento e do relacionamento com o cliente.Foi assim que começamos: fazendo muito com quase nada.Com o dinheiro das vendas, reinvestíamos tudo. O próprio iFood acreditou no nosso negócio e nos ajudou a crescer por meio de empréstimos progressivos. Com isso, conseguimos estruturar nossa cozinha, investir em embalagens melhores, logística, equipamentos e profissionalização. O que era improviso começou a virar empresa. O que era sobrevivência começou a virar futuro.Hoje, nossa realidade é outra.Temos 7 lojas distribuídas estrategicamente em Salvador, atuamos com delivery e também com buffet de eventos de feijoada carioca. Nosso foco é entrega rápida, qualidade do produto e excelência no atendimento ao cliente. Atualmente, contamos com 20 funcionários e seguimos crescendo.Mais do que números, o iFood mudou a vida da minha mãe, a minha vida e a vida de toda a nossa família. Hoje, quase toda a família trabalha na empresa. Conseguimos reformar nossa casa, comprar carros e também ajudar outros familiares que precisavam de uma oportunidade. O que nasceu para pagar contas básicas virou uma fonte de transformação para muitas pessoas ao nosso redor.Somos uma empresa familiar. Minha mãe continua sendo a alma da cozinha, responsável pela comida e pelo sabor que conquistou nossos clientes. Eu cuido da parte gerencial. Como sou engenheira de produção, desde o início estruturei o negócio por processos e assumi a gestão dos setores: produção, operação, vendas, estoque, compras, marketing, recursos humanos, finanças e tudo o que fosse necessário para fazer a empresa crescer com organização e visão de futuro.Hoje, nosso maior objetivo é ser a maior referência em feijoada delivery e buffet de eventos, com um modelo de negócio de baixo custo e grande escala, que no futuro possa até ser formatado para franquia. Nossa produção está em Salvador, Bahia, e queremos continuar crescendo para atender com rapidez e eficiência os principais bairros da cidade. E, quem sabe, no futuro, levar nossa feijoada para outras capitais do Brasil e até do mundo.Quando olhamos para trás, vemos que não foi sorte. Foi coragem, trabalho, união familiar e oportunidade. O iFood entrou na nossa história como ponte entre um momento de dificuldade e uma nova vida. Ele nos ajudou a transformar talento em renda, comida em negócio e sonho em realidade.Nossa história tem gosto de Brasil. Tem gosto de feijoada feita com amor, de luta vencida em família, de recomeço em tempos difíceis e de crescimento construído passo a passo."
Há quanto tempo a empresa está no mercado?,Iniciamos 11/01/2021
"Quais são as diretrizes? (Missão, visão e valores)","Planejamento Estrategico 2021/2026 Missão: Fornecer refeições com qualidade, de forma rápida, acessível e com excelente atendimento ao cliente, tornando o consumo da nossa feijoada uma experiência memorável.Visão: Ser a maior referência de delivery e de buffet de Feijoada em Salvador-BA. Valores: 
Qualidade: Compromisso inegociável com a excelência dos ingredientes e processos de produção. 
Compromisso: Dedicação em cumprir com as entregas e expectativas dos clientes e da empresa. 
Cooperação e Trabalho em Equipe: Acreditamos que o sucesso é resultado do esforço conjunto de todos. 
Lealdade e Respeito: Integridade nas relações interpessoais e com a empresa. 
Responsabilidade Social e Sustentabilidade: Consciência do nosso papel na comunidade e no meio ambiente. 
Melhoria Contínua: Busca incessante por aprimoramento em todos os processos. (*Estamos em fase de atualização para o planejamento estratégico 2027/2032, nós conseguimos alcançar todos os objetivos, em breve faremos a divulgação do novo planejamento estrategico) 
"
"Em poucas palavras, defina a sua empresa e a solução que ela entrega para o mercado:","delivery e buffet de eventos de comida brasileira, focada em entrega rápida, qualidade do produto e atendimento ao cliente, com modelo de negócio de baixo custo e grande escala, pensado para virar franquia."
